Year,Event 1,Event 2,Event 3,Event 4,Event 5,pid,age,gender,education,highest qualification,employment,wages,hours worked,wage per hour,relationship,is in serps,foster status,years fostered,years in education,years in work this spell,years unemployed this spell,years in work total,years unemployed total,Childrens Services: Expenditure,Local Authority: Expenditure,Welsh Government: Expenditure,Uk Government: Expenditure,Childrens Services: Receipts,Local Authority: Receipts,Welsh Government: Receipts,Uk Government: Receipts,income tax,national insurance,employers ni,tax credits,child benefit,education allowances,foster care payments,student grants,student loans,total taxable income,net income,total student loans,outstanding student loans,assigned admin costs,childs contributions,student accommodation costs,vat
 2055,,,,,, 2002, 61,Male,Not In Education,No Qualification,Full Time,    15597.60,1786,        8.73,Head,False,Previously Fostered,       11.00,        2.00,       33.00,        0.00,       36.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4849.19,     1231.52,      831.32,      815.63,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15597.60,    13534.76,        0.00,        0.00,        0.00,        0.00,        0.00,     1970.72
 2056,,,,,, 2002, 62,Male,Not In Education,No Qualification,Full Time,    15498.52,1786,        8.68,Head,False,Previously Fostered,       11.00,        2.00,       34.00,        0.00,       37.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4797.78,     1211.70,      820.81,      805.33,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15498.52,    13466.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1959.94
 2057,,,,,, 2002, 63,Male,Not In Education,No Qualification,Full Time,    15389.36,1786,        8.62,Head,False,Previously Fostered,       11.00,        2.00,       35.00,        0.00,       38.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4741.15,     1189.87,      809.24,      793.97,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15389.36,    13390.24,        0.00,        0.00,        0.00,        0.00,        0.00,     1948.06
 2058,,,,,, 2002, 64,Male,Not In Education,No Qualification,Full Time,    15270.32,1786,        8.55,Head,False,Previously Fostered,       11.00,        2.00,       36.00,        0.00,       39.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4679.40,     1166.06,      796.62,      781.59,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15270.32,    13307.64,        0.00,        0.00,        0.00,        0.00,        0.00,     1935.12
 2059,,,,,, 2002, 65,Male,Not In Education,No Qualification,Full Time,    15141.67,1786,        8.48,Head,False,Previously Fostered,       11.00,        2.00,       37.00,        0.00,       40.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4612.67,     1140.33,      782.99,      768.21,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15141.67,    13218.35,        0.00,        0.00,        0.00,        0.00,        0.00,     1921.14
Present Values  
,,Discounted 3.5%,,,Undiscounted
 ITEM,Expend, Receipts, Net%,, Expend%, Receipts 0%, Net 0%
Childrens Services,59650.23,0.00,59650.23,,63793.00,0.00,63793.00
Local Authority,0.00,0.00,0.00,,0.00,0.00,0.00
Welsh Government,0.00,0.00,0.00,,0.00,0.00,0.00
Uk Government,37498.72,73929.40,-36430.68,,46978.14,189045.55,-142067.41

Over all budgets,97148.95,0.00,59650.23,,110771.14,0.00,63793.00
